股票代码,股票名称,上榜日期,解读,收盘价,涨跌幅,换手率,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,流通市值,上榜原因
600990,四创电子,2024-05-10,卖一主卖，成功率57.40%,22.4,-10.004,18.5635,-46830164.64,71193686.37,118023851.01,189217537.38,1221667681.0,-3.833298152053,15.488462232636,6025884390.4,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600990,四创电子,2024-05-10,卖一主卖，成功率57.40%,22.4,-10.004,18.5635,-46830164.64,71193686.37,118023851.01,189217537.38,1221667681.0,-3.833298152053,15.488462232636,6025884390.4,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
603139,康惠制药,2024-05-10,普通席位卖出，成功率51.13%,16.54,-5.2692,18.8781,-21422720.0,31889101.0,53311821.0,85200922.0,347685861.0,-6.16151601287,24.505144314741,1652015200.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
603222,济民医疗,2024-05-10,实力游资买入，成功率45.81%,9.33,10.0236,3.2204,23548920.0,75914478.0,52365558.0,128280036.0,161418703.0,14.588718384139,79.470367197784,5012425081.95,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
603222,济民医疗,2024-05-10,实力游资买入，成功率43.33%,9.33,10.0236,3.2204,33892708.0,86258266.0,52365558.0,138623824.0,203382153.0,16.664543815701,68.159286326367,5012425081.95,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
603231,索宝蛋白,2024-05-10,实力游资买入，成功率43.34%,22.76,10.0048,28.2838,18132069.0,54920639.0,36788570.0,91709209.0,298104223.0,6.082459623526,30.764142848121,1067569134.48,有价格涨跌幅限制的日换手率达到20%的前五只证券
603261,立航科技,2024-05-10,卖一主卖，成功率45.26%,38.11,-2.5569,27.7991,-23896147.0,20386441.0,44282588.0,64669029.0,285259175.0,-8.37699506072,22.670271341842,1002189188.36,有价格涨跌幅限制的日换手率达到20%的前五只证券
603388,ST元成,2024-05-10,卖一主卖，成功率21.16%,3.52,-5.1213,0.1083,-643159.6,1080826.0,1723985.6,2804811.6,2605802.0,-24.681829241055,107.637172739909,1146582173.44,ST、*ST证券连续三个交易日内收盘价格跌幅偏离值累计达到12%的证券
603506,南都物业,2024-05-10,西藏自治区资金买入，成功率35.34%,11.09,10.0198,14.1681,-15940742.57,21355263.31,37296005.88,58651269.19,283210498.0,-5.628584633187,20.709426240972,2082455569.11,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
603506,南都物业,2024-05-10,实力游资买入，成功率40.35%,11.09,10.0198,14.1681,27287.9200000018,38513126.0,38485838.08,76998964.08,445805050.0,0.006121043268,17.271891397372,2082455569.11,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
603559,*ST通脉,2024-05-10,实力游资买入，成功率45.72%,4.48,4.918,1.886,2814959.89,6372067.0,3557107.11,9929174.11,23682579.0,11.886205003264,41.926067722607,642043167.36,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券
603580,艾艾精工,2024-05-10,实力游资买入，成功率57.75%,28.44,10.0193,22.4221,29830235.42,78060170.5,48229935.08,126290105.58,776361169.0,3.842314197453,16.266927123966,3716345808.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
603580,艾艾精工,2024-05-10,实力游资买入，成功率57.75%,28.44,10.0193,22.4221,29830235.42,78060170.5,48229935.08,126290105.58,776361169.0,3.842314197453,16.266927123966,3716345808.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
603739,蔚蓝生物,2024-05-10,实力游资买入，成功率49.99%,20.4,0.3937,27.3862,-129685817.54,74084273.45,203770090.99,277854364.44,1519068338.0,-8.537194430024,18.29110366462,5161788866.4,有价格涨跌幅限制的日换手率达到20%的前五只证券
603823,百合花,2024-05-10,实力游资买入，成功率57.29%,12.9,9.9744,17.1004,-56921641.02,128140791.8,185062432.82,313203224.62,987047997.0,-5.766856443963,31.731306438181,5302306401.6,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
603928,兴业股份,2024-05-10,普通席位卖出，成功率24.52%,12.83,-10.0281,10.6874,-14295438.34,16505654.0,30801092.34,47306746.34,278617553.0,-5.130846275145,16.979097630651,2586528000.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
605198,安德利,2024-05-10,广东资金卖出，成功率37.64%,42.21,-10.0,1.102,1308225.9,28414964.24,27106738.34,55521702.58,128634759.0,1.017008085661,43.162286003894,11419324560.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
833230,欧康医药,2024-05-10,主力做T，成功率21.34%,12.0,-3.6145,31.1694,-2402571.69,8696123.84,11098695.53,19794819.37,74700300.0,-3.216281179594,26.498982427112,226894212.0,当日换手率达到20%的前5只股票
837023,芭薇股份,2024-05-10,主力做T，成功率30.25%,14.95,-0.7304,26.0737,-2539427.41,11790617.25,14330044.66,26120661.91,90164800.0,-2.816428817011,28.969910552677,357761767.35,当日换手率达到20%的前5只股票
837046,亿能电力,2024-05-10,实力游资买入，成功率38.11%,8.92,8.1212,27.1825,314212.43,11725298.32,11411085.89,23136384.21,76374400.0,0.41141066902,30.293376065802,284030238.6,当日换手率达到20%的前5只股票
837592,华信永道,2024-05-10,西藏自治区资金买入，成功率26.96%,18.56,6.7894,35.2705,-198569.49,13528577.73,13727147.22,27255724.95,111360300.0,-0.178312639244,24.475261785394,318006594.56,当日换手率达到20%的前5只股票
873152,天宏锂电,2024-05-10,主力做T，成功率15.28%,8.11,-9.4866,24.2424,1228442.81,11091057.03,9862614.22,20953671.25,77669100.0,1.581636468042,26.9781306208,315410973.32,当日换手率达到20%的前5只股票
900915,中路B股,2024-05-10,普通席位卖出，成功率32.89%,0.507,-7.4818,1.5972,-158672.37,133162.5,291834.87,424997.37,678850.0,-23.373701112175,62.605490167195,4891911635.8,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
